Airport
TROYES-BARBEREY airport
NEVERS-FOURCHAMBAULT airport
MAUBEUGE-ELESMES airport
LILLE-LESQUIN airport
MERVILLE-CALONNE airport
CHARLEVILLE-MEZIERES airport
ANGERS/AVRILLE airport
BREST-BRETAGNE airport
CHERBOURG-MAUPERTUS airport
DINARD PLEURTUIT SAINT MALO airport
LA BAULE-ESCOUBLAC airport
DEAUVILLE-NORMANDIE airport
LORIENT-LANN-BIHOUE airport
LA ROCHE SUR YON LES AJONCS airport
CAEN-CARPIQUET airport
LE MANS-ARNAGE airport
RENNES SAINT JACQUES airport
LANNION airport
QUIMPER-PLUGUFFAN airport
NANTES ATLANTIQUE airport
SAINT BRIEUC ARMOR airport
MORLAIX PLOUJEAN airport
VANNES-MEUCON airport
SAINT-NAZAIRE-MONTOIR airport
BALE-MULHOUSE airport
DIJON-LONGVIC airport
EPINAL-MIRECOURT airport
NANCY-ESSEY airport
REIMS/CHAMPAGNE airport
STRASBOURG-ENTZHEIM airport
CANNES/PALM BEACH airport
HYERES-LE PALYVESTRE airport
NIMES-GARONS airport
LA MOLE airport
SAINT PIERRE airport
GROSTENQUIN airport
PARIS airport system
STRASBOURG airport System
CAYENNE-FELIX-EBOUE airport
AIME CESAIRE/MARTINIQUE airport
"SAINT MARTIN, GRAND CASE, GUADELOUPE airport"
SAINT BARTHELEMY/FRENCH ANTILLES airport
MARIE GALANTE airport
POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport
LES SAINTES/TERRE DE HAUT/FRENCH ANTILLES airport
DUBROVNIK/CILIPI airport
PULA airport
RIJEKA/KRK airport
SPLIT/KASTELA airport
ZAGREB/FRANJO TUDJMAN airport
ZADAR/ZEMUNIK airport
CROTONE airport
BARI/PALESE airport
FOGGIA/GINO LISA airport
TARANTO/GROTTAGLIE airport
PESCARA airport
BRINDISI/CASALE airport
LAMEZIA TERME airport
COMISO airport
CATANIA/FONTANAROSSA airport
LAMPEDUSA airport
PANTELLERIA airport
PALERMO/PUNTA RAISI airport
REGGIO CALABRIA airport
TRAPANI/BIRGI airport
ALGHERO/FERTILIA airport
CAGLIARI/ELMAS airport
OLBIA/COSTA SMERALDA airport
TORTOLI/ARBATAX airport
MILANO/MALPENSA airport
BERGAMO/ORIO AL SERIO airport
TORINO/CASELLE airport
ALBENGA airport
GENOVA/SESTRI airport
MILANO/LINATE airport
PARMA airport
AOSTA airport
CUNEO/LEVALDIGI airport
BOLZANO airport
BOLOGNA/BORGO PANIGALE airport
TREVISO/S.ANGELO airport
FORLI airport
VERONA/BOSCOMANTICO airport
BRESCIA/MONTICHIARI airport
TRIESTE/RONCHI DEI LEGIONARI airport
RIMINI/MIRAMARE airport
VERONA/VILLAFRANCA airport
ANCONA/FALCONARA airport
VENEZIA/TESSERA airport
ROMA/CIAMPINO airport
ROMA/FIUMICINO airport
MARINA DI CAMPO airport
NAPOLI/CAPODICHINO airport
PISA/S. GIUSTO airport
FIRENZE/PERETOLA airport
GROSSETO airport
PERUGIA/S. FRANCESCO airport
TRIESTE airport
Unknown airport - ITALY
LARNAKA/INTL airport
PAFOS/INTL airport
RIGA airport
KAUNAS INTL airport
PALANGA/INTERNATIONAL airport
SIAULIAI/INTERNATIONAL airport
VILNIUS/INTERNATIONAL airport
LUXEMBOURG airport
BUDAPEST/LISZT FERENC INTERNATIONAL airport
DEBRECEN airport
LUQA airport
AMSTERDAM/SCHIPHOL airport
MAASTRICHT/AACHEN airport
EINDHOVEN airport
GRONINGEN/EELDE airport
ROTTERDAM airport
GRAZ airport
INNSBRUCK airport
KLAGENFURT airport
LINZ airport
SALZBURG airport
WIEN-SCHWECHAT airport
BYDGOSZCZ/SZWEDEROWO airport
GDANSK IM LECHA WALESY airport
KRAKOW/BALICE airport
KATOWICE/PYRZOWICE airport
LUBLIN airport
LODZ/LUBLINEK airport
WARSZAWA/MODLIN airport
POZNAN/LAWICA airport
RZESZOW/JASIONKA airport
SZCZECIN/GOLENIOW airport
OLSZTYN-MAZURY airport
WARSZAWA/CHOPINA airport
WROCLAW/STRACHOWICE airport
SANTA MARIA airport
BRAGANCA airport
BEJA airport
CORVO airport
CASCAIS airport
FLORES airport
FARO airport
FUNCHAL/MADEIRA I. airport
GRACIOSA airport
HORTA airport
LAJES airport
MADEIRA airport
PONTA DELGADA airport
PICO airport
PORTIMAO airport
SANTA MARIA OAC/FIC airport
PORTO airport
PORTO SANTO airport
LISBOA airport
SAO JORGE airport
VILA REAL airport
VISEU airport
ARAD airport
BACAU/GEORGE ENESCU airport
BAIA MARE airport
BUCURESTI/BANEASA-AUREL VLAICU airport
CONSTANTA/MIHAIL KOGALNICEANU airport
CLUJ NAPOCA/AVRAM IANCU airport
CARANSEBES airport
CRAIOVA airport
IASI airport
ORADEA airport
BUCURESTI/HENRI COANDA airport
SIBIU airport
SATU MARE airport
SUCEAVA/STEFAN CEL MARE airport
TULCEA/DELTA DUNARII airport
TARGU MURES/TRANSILVANIA airport
TIMISOARA/TRAIAN VUIA airport
LJUBLJANA/BRNIK airport
